City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,14.29,47,20,5.66,CA,1683683057
1,hilo,19.7297,-155.09,26.27,83,100,3.09,US,1683682921
2,puerto natales,-51.7236,-72.4875,2.46,88,23,1.72,CL,1683682816
3,port alfred,-33.5906,26.891,16.86,76,3,3.9,ZA,1683682840
4,vorgashor,67.5833,63.95,-3.77,97,100,0.28,RU,1683682846
5,afaahiti,-17.75,-149.2833,27.93,83,50,7.13,PF,1683682804
6,maturin,9.75,-63.1767,26.91,65,77,4.63,VE,1683682851
7,safford,32.834,-109.7076,32.51,7,0,6.69,US,1683683040
8,llerena,38.2354,-6.0739,14.52,52,85,4.54,ES,1683683058
9,adamstown,-25.066,-130.1015,21.75,58,85,5.53,PN,1683683059
10,carnarvon,-24.8667,113.6333,21.15,82,100,1.92,AU,1683682986
11,avarua,-21.2078,-159.775,25.03,83,75,7.72,CK,1683683059
12,port elizabeth,-33.918,25.5701,14.62,99,2,1.03,ZA,1683683013
13,namsos,64.4662,11.4957,11.03,54,100,1.54,NO,1683683059
14,albany,42.6001,-73.9662,9.76,58,5,2.27,US,1683682916
15,puerto ayora,-0.7393,-90.3518,25.86,97,17,3.13,EC,1683683031
16,blackmans bay,-43.0167,147.3167,13.07,71,58,4.85,AU,1683683060
17,waitangi,-43.9535,-176.5597,16.57,95,100,5.36,NZ,1683683060
18,buala,-8.145,159.5921,30.08,70,52,4.4,SB,1683683060
19,juneau,58.3019,-134.4197,16.0,100,100,6.17,US,1683683060
20,saldanha,-33.0117,17.9442,16.04,65,98,2.59,ZA,1683683061
21,egilsstadir,65.2653,-14.3948,5.95,100,100,2.06,IS,1683683061
22,hammerfest,70.6634,23.6821,6.25,70,20,0.0,NO,1683683061
23,puerto baquerizo moreno,-0.9,-89.6,26.32,86,53,4.79,EC,1683683061
24,hamilton,39.1834,-84.5333,17.47,54,0,4.12,US,1683683062
25,kodiak,57.79,-152.4072,5.73,87,100,7.72,US,1683682997
26,bethel,41.3712,-73.414,13.14,57,0,1.54,US,1683683006
27,ribeira grande,38.5167,-28.7,18.21,97,100,6.71,PT,1683683062
28,buchanan,5.8808,-10.0467,26.89,86,98,2.35,LR,1683683062
29,chyorny yar,48.0624,46.1091,7.52,71,83,2.11,RU,1683683062
30,solnechnyy,50.7214,136.6319,7.59,43,98,4.24,RU,1683683063
31,urangan,-25.3,152.9,21.32,64,25,8.68,AU,1683683063
32,crane,31.3974,-102.3501,23.09,55,26,10.25,US,1683683063
33,dudinka,69.4058,86.1778,-17.74,94,49,1.66,RU,1683683063
34,port-aux-francais,-49.35,70.2167,4.6,96,100,18.13,TF,1683682980
35,khanbari,27.3747,87.2039,25.99,26,0,0.27,NP,1683683063
36,bilibino,68.0546,166.4372,-2.77,83,100,2.06,RU,1683683064
37,posse,-14.0931,-46.3694,21.49,54,98,1.84,BR,1683683001
38,badger,64.8,-147.5333,13.14,33,75,3.09,US,1683683064
39,isafjordur,66.0755,-23.124,3.72,95,100,2.07,IS,1683683064
40,kandyagash,49.4744,57.4233,14.81,73,100,4.66,KZ,1683683064
41,lihue,21.9789,-159.3672,26.77,69,100,7.2,US,1683683065
42,georgetown,5.4112,100.3354,30.96,83,20,2.57,MY,1683682829
43,gebeit,21.0667,36.3167,20.01,37,3,1.53,SD,1683683065
44,chonchi,-42.6128,-73.8092,12.56,98,99,0.58,CL,1683683065
45,arraial do cabo,-22.9661,-42.0278,23.92,83,20,3.6,BR,1683683065
46,udachny,66.4167,112.4,-4.75,85,100,8.67,RU,1683683003
47,porto novo,6.4965,2.6036,28.9,84,49,3.26,BJ,1683682840
48,ancud,-41.8697,-73.8203,10.97,94,81,2.06,CL,1683683066
49,margaret river,-33.95,115.0667,15.62,61,100,12.05,AU,1683682994
50,vadso,70.0744,29.7487,3.49,100,100,3.6,NO,1683683066
51,ta`u,-14.2336,-169.5144,28.13,74,70,5.77,AS,1683682841
52,mhangura,-16.8939,30.1683,10.95,74,2,1.32,ZW,1683683067
53,rio grande,-32.035,-52.0986,10.53,80,16,3.93,BR,1683683040
54,olonkinbyen,70.9221,-8.7187,1.9,100,100,4.16,SJ,1683682792
55,plastun,44.7561,136.2939,8.78,63,58,3.82,RU,1683683067
56,hawaiian paradise park,19.5933,-154.9731,23.91,87,100,3.09,US,1683683067
57,ushuaia,-54.8,-68.3,1.81,64,0,2.57,AR,1683683067
58,san luis de la loma,17.2706,-100.8939,28.25,71,0,3.48,MX,1683683068
59,pisco,-13.7,-76.2167,20.03,83,100,4.12,PE,1683683068
60,kralendijk,12.15,-68.2667,26.99,78,40,8.23,BQ,1683683068
61,taltal,-25.4,-70.4833,18.01,77,36,0.8,CL,1683683068
62,dryden,49.7833,-92.7503,14.16,67,75,1.03,CA,1683683068
63,peace river,56.2501,-117.286,21.17,26,20,3.09,CA,1683683069
64,grytviken,-54.2811,-36.5092,1.26,96,100,0.48,GS,1683683069
65,san miguel,13.4833,-88.1833,29.78,70,8,3.6,SV,1683683069
66,uturoa,-16.7333,-151.4333,27.5,75,49,4.53,PF,1683683028
67,tiksi,71.6872,128.8694,-7.95,80,74,5.64,RU,1683683069
68,chernyshevskiy,63.0128,112.4714,-0.43,69,45,5.11,RU,1683683070
69,klyuchi,52.2667,79.1667,12.81,35,93,4.37,RU,1683682795
70,labrador city,52.9463,-66.9114,-2.05,50,75,3.6,CA,1683683070
71,payyannur,12.1,75.2,27.63,85,100,1.99,IN,1683683070
72,qaqortoq,60.7167,-46.0333,1.8,88,100,2.52,GL,1683683070
73,vespasiano,-19.6919,-43.9233,21.97,73,0,4.12,BR,1683683070
74,hadibu,12.65,54.0333,27.64,70,100,0.32,YE,1683682897
75,longyearbyen,78.2186,15.6401,-1.09,64,75,2.57,SJ,1683682912
76,minas de marcona,-15.2119,-75.1103,15.4,86,61,4.51,PE,1683683071
77,puerto armuelles,8.2833,-82.8667,28.99,85,95,3.04,PA,1683683071
78,edinburgh of the seven seas,-37.0676,-12.3116,13.41,62,91,9.37,SH,1683682975
79,carutapera,-1.195,-46.02,24.71,92,91,2.27,BR,1683682964
